Year,Name,Event,Round,Scores
2016,D. Cathels,Billabong Pipe Masters,Round 2,"['2.00', '2.73', '0.27', '0.77', '3.17']"
2016,N. Young,Billabong Pipe Masters,Round 2,"['2.37', '0.30', '3.83', '6.60', '4.67', '0.43', '1.07']"
2016,J. Andre,Billabong Pipe Masters,Round 2,"['2.50', '1.17', '0.50', '1.67', '3.50', '1.23', '\xa0']"
2016,K. Igarashi,Billabong Pipe Masters,Round 2,"['2.17', '0.40', '0.57', '0.50', '4.50', '0.30', '6.00']"
2016,K. Asing,Billabong Pipe Masters,Round 2,"['3.33', '1.17', '0.50', '2.87', '4.93', '\xa0', '\xa0']"
2016,J. Flores,Billabong Pipe Masters,Round 3,"['0.13', '4.67', '0.30', '9.17', '1.17']"
2016,M. Wilkinson,Billabong Pipe Masters,Round 3,"['3.33', '0.50', '0.40', '2.10', '4.10']"
2016,F. Toledo,Billabong Pipe Masters,Round 3,"['4.17', '6.27', '\xa0', '\xa0']"
2016,W. Dantas,Billabong Pipe Masters,Round 3,"['0.83', '1.13', '0.80', '3.00']"
2016,K. Andino,Billabong Pipe Masters,Round 3,"['4.33', '1.33', '0.23', '0.30', '1.63', '0.23', '0.50', '6.50']"
2016,K. Otton,Billabong Pipe Masters,Round 3,"['5.17', '4.90', '1.93', '1.70', '1.20', '\xa0', '\xa0', '\xa0']"
2016,J. Parkinson,Billabong Pipe Masters,Round 3,"['6.00', '6.10', '5.23', '\xa0', '\xa0']"
2016,M. Pupo,Billabong Pipe Masters,Round 3,"['5.07', '0.27', '0.93', '0.37', '3.67']"
2016,M. Bourez,Billabong Pipe Masters,Round 3,"['5.33', '1.23', '0.43', '1.23', '6.83', '1.43', '0.43', '1.00']"
2016,I. Ferreira,Billabong Pipe Masters,Round 3,"['1.43', '0.57', '3.17', '1.23', '1.20', '7.17', '1.07', '\xa0']"
2016,J. Florence,Billabong Pipe Masters,Round 3,"['0.83', '1.17', '1.43', '0.87', '8.10', '1.13', '7.17', '0.90']"
2016,B. Durbidge,Billabong Pipe Masters,Round 3,"['0.50', '0.20', '2.50', '4.37', '2.83', '5.57', '\xa0', '\xa0']"
2016,R. Callinan,Billabong Pipe Masters,Round 3,"['0.93', '2.27', '0.27', '6.67', '3.10', '1.07', '8.67', '1.63', '0.80']"
2016,G. Medina,Billabong Pipe Masters,Round 3,"['0.20', '1.50', '0.50', '2.83', '8.60', '1.17', '0.20', '\xa0', '\xa0']"
2016,J. Kerr,Billabong Pipe Masters,Round 3,"['0.73', '4.33', '0.67', '0.77', '3.00', '0.37', '0.47']"
2016,S. Zietz,Billabong Pipe Masters,Round 3,"['0.37', '1.57', '0.83', '1.37', '\xa0', '\xa0', '\xa0']"
2016,N. Young,Billabong Pipe Masters,Round 3,"['1.00', '0.33', '1.20', '6.17', '1.83']"
2016,A. de Souza,Billabong Pipe Masters,Round 3,"['0.77', '0.77', '2.57', '\xa0', '\xa0']"
2016,K. Igarashi,Billabong Pipe Masters,Round 3,"['3.50', '3.53', '1.17', '1.57', '3.97', '0.30', '\xa0', '\xa0']"
2016,J. Wilson,Billabong Pipe Masters,Round 3,"['0.27', '1.07', '2.43', '0.30', '0.77', '1.17', '0.50', '0.43']"
2016,K. Slater,Billabong Pipe Masters,Round 3,"['1.00', '4.33', '5.83', '7.00', '2.40', '1.30', '2.83', '0.77', '2.17', '8.27', '1.17', '0.27']"
2016,C. Coffin,Billabong Pipe Masters,Round 3,"['0.17', '1.47', '0.50', '1.93', '6.13', '9.07', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2016,J. Smith,Billabong Pipe Masters,Round 3,"['7.17', '0.37', '0.43', '2.30', '8.17']"
2016,A. Ribeiro,Billabong Pipe Masters,Round 3,"['0.73', '0.80', '1.13', '0.60', '\xa0']"
2016,K. Andino,Billabong Pipe Masters,Round 4,"['9.93', '1.00', '1.23', '3.73', '0.27']"
2016,J. Flores,Billabong Pipe Masters,Round 4,"['2.83', '7.33', '1.87', '0.50', '\xa0']"
2016,F. Toledo,Billabong Pipe Masters,Round 4,"['1.67', '0.37', '5.00', '\xa0', '\xa0']"
2016,J. Florence,Billabong Pipe Masters,Round 4,"['4.33', '1.17', '6.67', '\xa0', '\xa0']"
2016,M. Bourez,Billabong Pipe Masters,Round 4,"['7.17', '0.43', '0.80', '2.00', '1.20']"
2016,J. Parkinson,Billabong Pipe Masters,Round 4,"['0.93', '1.17', '1.33', '3.00', '5.83']"
2016,J. Kerr,Billabong Pipe Masters,Round 4,"['1.83', '1.90', '5.07', '1.33', '4.17']"
2016,R. Callinan,Billabong Pipe Masters,Round 4,"['2.40', '0.37', '\xa0', '\xa0', '\xa0']"
2016,N. Young,Billabong Pipe Masters,Round 4,"['1.57', '\xa0', '\xa0', '\xa0', '\xa0']"
2016,K. Igarashi,Billabong Pipe Masters,Round 4,"['1.00', '0.63', '7.00', '5.00']"
2016,J. Smith,Billabong Pipe Masters,Round 4,"['7.17', '1.20', '4.17', '\xa0']"
2016,K. Slater,Billabong Pipe Masters,Round 4,"['1.87', '0.37', '\xa0', '\xa0']"
2016,J. Flores,Billabong Pipe Masters,Round 5,"['8.90', '1.07', '5.33', '6.27', '3.90', '0.23']"
2016,J. Parkinson,Billabong Pipe Masters,Round 5,"['0.37', '1.70', '0.83', '2.83', '\xa0', '\xa0']"
2016,M. Bourez,Billabong Pipe Masters,Round 5,"['6.33', '7.23', '1.40', '0.37', '9.57', '0.50', '0.43', '\xa0']"
2016,F. Toledo,Billabong Pipe Masters,Round 5,"['4.83', '0.93', '5.50', '0.80', '10.00', '1.77', '0.17', '3.27']"
2016,K. Slater,Billabong Pipe Masters,Round 5,"['2.17', '6.17', '4.43', '8.17', '2.20', '0.93']"
2016,R. Callinan,Billabong Pipe Masters,Round 5,"['1.00', '0.23', '4.50', '1.20', '5.67', '\xa0']"
2016,J. Smith,Billabong Pipe Masters,Round 5,"['1.40', '1.37', '9.43', '8.67', '\xa0']"
2016,N. Young,Billabong Pipe Masters,Round 5,"['2.27', '6.33', '8.00', '8.17', '0.43']"
2016,K. Andino,Billabong Pipe Masters,Quarterfinals,"['1.43', '1.17', '6.17', '8.70', '0.50']"
2016,J. Flores,Billabong Pipe Masters,Quarterfinals,"['4.67', '0.83', '8.00', '1.37', '\xa0']"
2016,M. Bourez,Billabong Pipe Masters,Quarterfinals,"['7.77', '0.37', '8.77', '0.37', '8.43', '2.00']"
2016,J. Florence,Billabong Pipe Masters,Quarterfinals,"['7.33', '6.67', '1.40', '0.50', '1.50', '\xa0']"
2016,K. Slater,Billabong Pipe Masters,Quarterfinals,"['4.33', '5.83', '4.00', '3.00', '5.67']"
2016,J. Kerr,Billabong Pipe Masters,Quarterfinals,"['1.50', '5.27', '0.37', '0.90', '4.97']"
2016,K. Igarashi,Billabong Pipe Masters,Quarterfinals,"['9.93', '4.73', '8.10', '\xa0']"
2016,J. Smith,Billabong Pipe Masters,Quarterfinals,"['7.57', '3.93', '6.33', '8.17']"
2016,M. Bourez,Billabong Pipe Masters,Semifinals,"['6.33', '5.23', '0.50', '8.57', '6.80']"
2016,K. Andino,Billabong Pipe Masters,Semifinals,"['5.33', '8.60', '\xa0', '\xa0', '\xa0']"
2016,K. Igarashi,Billabong Pipe Masters,Semifinals,"['6.67', '6.00', '8.83', '\xa0']"
2016,K. Slater,Billabong Pipe Masters,Semifinals,"['8.10', '6.90', '1.50', '1.83']"
2016,M. Bourez,Billabong Pipe Masters,Finals,"['0.50', '5.00', '1.23', '2.53']"
2016,K. Igarashi,Billabong Pipe Masters,Finals,"['4.17', '2.00', '\xa0', '\xa0']"
2017,J. Andre,Quiksilver Pro Gold Coast,Round 1,"['1.50', '1.87', '5.00', '4.37', '2.17', '4.23', '5.93', '0.27', '0.27', '5.53', '1.93']"
2017,M. Bourez,Quiksilver Pro Gold Coast,Round 1,"['5.67', '0.83', '0.43', '3.17', '4.07', '4.47', '4.60', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 1,"['1.27', '4.00', '0.37', '2.73', '3.33', '0.83', '5.40', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Round 1,"['6.17', '3.77', '1.70', '7.50', '2.83', '4.07', '\xa0']"
2017,S. Kennedy,Quiksilver Pro Gold Coast,Round 1,"['0.50', '2.50', '4.93', '0.37', '1.50', '3.90', '0.20']"
2017,I. Gouveia,Quiksilver Pro Gold Coast,Round 1,"['4.33', '0.70', '3.50', '0.43', '3.80', '0.33', '\xa0']"
2017,K. Andino,Quiksilver Pro Gold Coast,Round 1,"['4.00', '6.33', '0.30', '0.23', '0.37', '0.47', '5.00', '4.50', '0.20', '1.27']"
2017,J. Freestone,Quiksilver Pro Gold Coast,Round 1,"['3.33', '2.43', '7.17', '3.50', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,K. Igarashi,Quiksilver Pro Gold Coast,Round 1,"['1.00', '0.67', '0.83', '0.60', '2.10', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,G. Medina,Quiksilver Pro Gold Coast,Round 1,"['7.50', '0.27', '1.40', '7.83', '0.50', '2.73', '8.67']"
2017,W. Dantas,Quiksilver Pro Gold Coast,Round 1,"['4.83', '1.83', '2.93', '0.43', '6.07', '0.93', '0.80']"
2017,E. Lau,Quiksilver Pro Gold Coast,Round 1,"['4.50', '1.23', '5.40', '1.93', '5.30', '1.00', '\xa0']"
2017,J. Smith,Quiksilver Pro Gold Coast,Round 1,"['6.43', '0.67', '0.43', '5.50', '0.37', '0.93', '2.83', '2.43', '\xa0']"
2017,M. Pupo,Quiksilver Pro Gold Coast,Round 1,"['1.40', '0.83', '3.67', '3.50', '1.33', '8.10', '0.67', '0.37', '3.30']"
2017,N. Young,Quiksilver Pro Gold Coast,Round 1,"['6.33', '1.57', '0.33', '4.33', '0.37', '0.93', '1.77', '3.33', '\xa0']"
2017,J. Florence,Quiksilver Pro Gold Coast,Round 1,"['7.33', '0.90', '3.67', '8.50', '1.00', '8.33', '0.67']"
2017,M. Wright,Quiksilver Pro Gold Coast,Round 1,"['2.57', '1.50', '3.10', '5.33', '1.00', '7.67', '5.83']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Round 1,"['2.33', '3.90', '1.80', '4.30', '\xa0', '\xa0', '\xa0']"
2017,M. Fanning,Quiksilver Pro Gold Coast,Round 1,"['4.67', '6.10', '2.93', '7.17', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Flores,Quiksilver Pro Gold Coast,Round 1,"['2.00', '2.00', '5.13', '0.80', '7.33', '5.10', '5.80', '3.03', '\xa0']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 1,"['5.83', '4.63', '1.00', '3.67', '0.37', '5.37', '2.60', '1.00', '2.50']"
2017,J. Wilson,Quiksilver Pro Gold Coast,Round 1,"['2.00', '3.50', '7.00', '1.73', '8.67', '0.20', '2.33', '8.13', '\xa0']"
2017,L. Fioravanti,Quiksilver Pro Gold Coast,Round 1,"['1.00', '5.57', '2.57', '4.50', '0.43', '6.50', '0.20', '4.60', '\xa0']"
2017,C. Ibelli,Quiksilver Pro Gold Coast,Round 1,"['3.67', '2.60', '1.60', '4.00', '0.40', '0.37', '6.90', '3.70', '3.67']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Round 1,"['9.23', '0.40', '1.60', '7.17', '1.70', '1.00', '1.10', '3.60', '6.13', '0.93', '7.63']"
2017,J. Duru,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.90', '2.17', '1.63', '1.33', '8.07', '5.67', '3.67', '8.33', '\xa0', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 1,"['4.83', '0.87', '1.50', '6.83', '4.43', '0.23', '0.63', '0.43', '\xa0', '\xa0', '\xa0']"
2017,F. Morais,Quiksilver Pro Gold Coast,Round 1,"['6.33', '2.93', '8.73', '3.17', '6.97', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,F. Toledo,Quiksilver Pro Gold Coast,Round 1,"['6.33', '4.67', '7.60', '0.50', '7.50', '5.07', '4.83', '1.00', '6.53']"
2017,A. Buchan,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.57', '7.43', '6.00', '0.50', '6.00', '0.93', '\xa0', '\xa0']"
2017,A. de Souza,Quiksilver Pro Gold Coast,Round 1,"['0.50', '7.00', '9.17', '5.30', '3.93', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,B. Durbidge,Quiksilver Pro Gold Coast,Round 1,"['8.17', '0.50', '2.33', '7.27', '4.60', '2.33', '0.50', '2.17', '6.93']"
2017,J. Kerr,Quiksilver Pro Gold Coast,Round 1,"['0.87', '3.50', '2.07', '5.33', '0.50', '6.00', '1.27', '\xa0', '\xa0']"
2017,O. Wright,Quiksilver Pro Gold Coast,Round 1,"['1.00', '8.23', '6.27', '2.83', '8.60', '7.43']"
2017,E. Ewing,Quiksilver Pro Gold Coast,Round 1,"['9.10', '6.17', '0.37', '0.90', '\xa0', '\xa0']"
2017,S. Zietz,Quiksilver Pro Gold Coast,Round 1,"['6.33', '2.17', '5.87', '5.07', '\xa0', '\xa0']"
2017,M. Wright,Quiksilver Pro Gold Coast,Round 2,"['4.17', '6.67', '0.67', '7.50', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,M. Bourez,Quiksilver Pro Gold Coast,Round 2,"['4.70', '1.57', '8.23', '3.60', '3.57', '0.27', '0.33', '2.67', '4.97']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 2,"['0.50', '0.37', '5.17', '0.37', '0.20', '7.00', '7.03', '0.93', '1.00', '0.30', '1.63']"
2017,N. Young,Quiksilver Pro Gold Coast,Round 2,"['3.50', '1.57', '6.17', '2.67', '1.60', '0.30', '6.77', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,E. Lau,Quiksilver Pro Gold Coast,Round 2,"['5.33', '3.00', '0.30', '7.00', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,F. Toledo,Quiksilver Pro Gold Coast,Round 2,"['0.27', '4.67', '1.00', '0.50', '5.07', '1.37', '6.70', '0.50']"
2017,S. Zietz,Quiksilver Pro Gold Coast,Round 2,"['2.50', '2.17', '6.73', '8.13', '2.60', '8.27', '6.33', '0.37', '4.40']"
2017,J. Freestone,Quiksilver Pro Gold Coast,Round 2,"['7.83', '6.17', '1.00', '0.50', '0.30', '4.17', '0.67', '\xa0', '\xa0']"
2017,I. Gouveia,Quiksilver Pro Gold Coast,Round 2,"['4.50', '0.20', '3.43', '0.43', '5.07', '6.50', '1.13', '4.27', '\xa0', '\xa0']"
2017,J. Kerr,Quiksilver Pro Gold Coast,Round 2,"['0.33', '3.73', '1.93', '2.53', '0.70', '6.37', '1.70', '0.43', '1.93', '0.57']"
2017,J. Flores,Quiksilver Pro Gold Coast,Round 2,"['6.83', '6.23', '2.93', '8.23', '7.77', '2.27']"
2017,A. Buchan,Quiksilver Pro Gold Coast,Round 2,"['0.70', '6.67', '3.60', '7.60', '8.37', '5.00']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 2,"['5.83', '5.17', '5.90', '7.83', '2.50', '2.13', '6.53', '10.00', '1.27', '0.30', '0.83', '0.87']"
2017,L. Fioravanti,Quiksilver Pro Gold Coast,Round 2,"['1.00', '3.00', '5.27', '1.77', '6.43', '4.10', '4.50', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,C. Ibelli,Quiksilver Pro Gold Coast,Round 2,"['3.00', '5.67', '6.07', '0.50', '0.37', '8.70', '0.73', '1.00', '0.43', '8.10', '0.43', '3.67', '1.07']"
2017,J. Duru,Quiksilver Pro Gold Coast,Round 2,"['5.00', '2.50', '4.17', '0.43', '0.43', '0.43', '2.00', '5.53', '1.43', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 2,"['5.17', '0.50', '4.33', '5.90', '0.33', '3.07', '5.00', '0.30', '2.27', '8.33']"
2017,B. Durbidge,Quiksilver Pro Gold Coast,Round 2,"['1.67', '0.27', '4.90', '6.43', '2.67', '0.43', '6.30', '5.30', '\xa0', '\xa0']"
2017,S. Kennedy,Quiksilver Pro Gold Coast,Round 2,"['3.07', '3.70', '9.10', '3.83', '0.50', '7.17', '4.40', '\xa0', '\xa0', '\xa0']"
2017,E. Ewing,Quiksilver Pro Gold Coast,Round 2,"['4.00', '0.50', '4.90', '1.00', '5.37', '2.83', '0.27', '0.43', '0.23', '8.00']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Round 2,"['0.67', '0.27', '7.00', '0.50', '2.00', '1.50', '4.50', '3.33', '0.33', '8.03']"
2017,K. Igarashi,Quiksilver Pro Gold Coast,Round 2,"['8.00', '0.50', '0.43', '5.67', '0.50', '1.00', '1.93', '2.23', '0.33', '\xa0']"
2017,M. Pupo,Quiksilver Pro Gold Coast,Round 2,"['1.50', '0.23', '6.67', '0.43', '3.50', '6.77', '1.30', '0.50', '9.00', '0.40']"
2017,W. Dantas,Quiksilver Pro Gold Coast,Round 2,"['4.50', '5.00', '6.33', '0.43', '6.77', '0.50', '3.23', '4.83', '\xa0', '\xa0']"
2017,K. Andino,Quiksilver Pro Gold Coast,Round 3,"['6.67', '1.57', '1.80', '6.27', '7.00', '0.33', '2.00', '6.87', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Andre,Quiksilver Pro Gold Coast,Round 3,"['5.17', '0.93', '5.47', '3.83', '3.07', '0.50', '0.67', '1.47', '2.97', '3.50', '1.00', '7.37']"
2017,A. de Souza,Quiksilver Pro Gold Coast,Round 3,"['0.33', '7.33', '1.53', '3.67', '5.17', '2.87', '7.60', '5.87', '2.73', '\xa0', '\xa0']"
2017,S. Kennedy,Quiksilver Pro Gold Coast,Round 3,"['0.50', '4.33', '1.00', '0.50', '1.57', '0.83', '6.00', '0.27', '0.73', '6.07', '2.90']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Round 3,"['7.17', '1.43', '1.80', '6.70', '1.93', '7.93', '\xa0']"
2017,J. Flores,Quiksilver Pro Gold Coast,Round 3,"['6.77', '3.33', '0.50', '5.50', '1.83', '5.80', '7.83']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Round 3,"['7.00', '5.83', '3.33', '6.97', '9.67', '3.73', '7.57', '6.73']"
2017,M. Pupo,Quiksilver Pro Gold Coast,Round 3,"['1.50', '6.57', '6.97', '6.57', '2.33', '0.37', '3.00', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 3,"['9.77', '4.00', '0.77', '2.17', '1.50', '1.30', '4.83', '\xa0']"
2017,C. Ibelli,Quiksilver Pro Gold Coast,Round 3,"['3.17', '4.77', '0.50', '5.77', '5.33', '7.50', '2.77', '4.97']"
2017,J. Florence,Quiksilver Pro Gold Coast,Round 3,"['7.57', '4.10', '1.50', '5.17', '7.90', '\xa0']"
2017,M. Wright,Quiksilver Pro Gold Coast,Round 3,"['8.50', '0.87', '5.67', '1.07', '1.17', '0.50']"
2017,J. Smith,Quiksilver Pro Gold Coast,Round 3,"['8.50', '2.83', '1.10', '6.93', '8.80']"
2017,E. Lau,Quiksilver Pro Gold Coast,Round 3,"['1.67', '7.00', '5.50', '10.00', '1.50']"
2017,O. Wright,Quiksilver Pro Gold Coast,Round 3,"['7.00', '8.10', '2.67', '2.67', '2.67']"
2017,M. Fanning,Quiksilver Pro Gold Coast,Round 3,"['7.83', '5.00', '4.33', '7.17', '6.60']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Round 3,"['7.33', '2.27', '6.43', '7.60', '2.27', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Wilson,Quiksilver Pro Gold Coast,Round 3,"['5.17', '0.37', '1.00', '5.93', '0.87', '8.77', '5.80', '1.73', '2.37']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 3,"['4.33', '6.57', '6.33', '8.33', '0.93']"
2017,F. Morais,Quiksilver Pro Gold Coast,Round 3,"['5.17', '3.67', '6.00', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 3,"['7.83', '5.33', '6.50', '0.37', '5.80', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,S. Zietz,Quiksilver Pro Gold Coast,Round 3,"['0.50', '7.50', '0.50', '4.50', '1.00', '1.37', '0.27', '6.70', '3.77', '1.23', '6.10']"
2017,G. Medina,Quiksilver Pro Gold Coast,Round 3,"['8.83', '9.80', '9.20', '0.50', '3.73', '1.87']"
2017,I. Gouveia,Quiksilver Pro Gold Coast,Round 3,"['6.50', '7.33', '6.93', '2.50', '7.23', '\xa0']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Round 4,"['1.50', '2.83', '3.83', '6.77', '8.60', '0.83', '0.57', '8.47', '\xa0']"
2017,A. de Souza,Quiksilver Pro Gold Coast,Round 4,"['7.50', '2.03', '6.63', '0.43', '7.47', '1.00', '2.53', '0.40', '0.70']"
2017,K. Andino,Quiksilver Pro Gold Coast,Round 4,"['1.00', '1.27', '0.50', '2.67', '5.83', '8.30', '0.63', '0.50 1', '\xa0']"
2017,J. Florence,Quiksilver Pro Gold Coast,Round 4,"['6.17', '3.17', '8.00', '1.00', '3.13', '3.23', '\xa0', '\xa0', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 4,"['1.50', '6.83', '0.20', '0.37', '4.03', '5.83', '0.63', '0.90', '6.27']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Round 4,"['4.33', '3.27', '0.20', '3.60', '3.63', '0.37', '5.40', '\xa0', '\xa0']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Round 4,"['6.67', '0.77', '4.10', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,O. Wright,Quiksilver Pro Gold Coast,Round 4,"['0.63', '0.87', '5.93', '4.73', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Smith,Quiksilver Pro Gold Coast,Round 4,"['0.43', '2.70', '0.50', '3.50', '4.50', '3.17', '0.20', '1.17', '5.27']"
2017,G. Medina,Quiksilver Pro Gold Coast,Round 4,"['0.33', '0.43', '6.93', '2.10', '5.57', '0.50', '8.83', '5.53']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 4,"['7.17', '4.67', '4.90', '1.00', '0.70', '0.50', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 4,"['6.67', '0.40', '4.50', '1.00', '4.00', '1.00', '\xa0', '\xa0']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Round 5,"['5.50', '4.67', '0.50', '0.50', '8.83', '0.37', '8.40', '3.07', '3.33']"
2017,A. de Souza,Quiksilver Pro Gold Coast,Round 5,"['0.90', '5.50', '6.93', '1.63', '2.07', '1.23', '0.93', '\xa0', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 5,"['6.33', '4.50', '0.30', '2.23', '6.47', '3.60', '3.13', '0.33', '4.10']"
2017,K. Andino,Quiksilver Pro Gold Coast,Round 5,"['0.33', '5.83', '1.77', '0.57', '0.97', '0.43', '3.07', '0.50', '4.73']"
2017,O. Wright,Quiksilver Pro Gold Coast,Round 5,"['2.00', '4.67', '7.83', '4.90', '6.93', '0.80', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 5,"['0.83', '3.33', '2.50', '1.43', '5.67', '0.43', '5.00', '0.80', '0.90', '8.50']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 5,"['1.00', '3.50', '7.27', '6.33', '4.10', '7.43', '2.20', '1.50', '4.10']"
2017,J. Smith,Quiksilver Pro Gold Coast,Round 5,"['4.83', '2.60', '6.00', '6.07', '7.23', '2.57', '2.37', '\xa0', '\xa0']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Quarterfinals,"['7.33', '7.67', '0.20', '5.33', '1.00', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Quarterfinals,"['2.00', '3.67', '1.50', '0.50', '0.20', '6.17', '0.67', '6.20', '0.30', '1.77', '3.10']"
2017,J. Florence,Quiksilver Pro Gold Coast,Quarterfinals,"['8.83', '2.67', '6.03', '0.57', '\xa0', '\xa0', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Quarterfinals,"['1.00', '2.83', '0.43', '0.53', '6.50', '0.23', '5.83']"
2017,O. Wright,Quiksilver Pro Gold Coast,Quarterfinals,"['0.50', '1.50', '1.00', '5.67', '2.00', '2.23', '7.33']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Quarterfinals,"['3.17', '2.90', '3.23', '0.90', '4.83', '6.93', '\xa0']"
2017,G. Medina,Quiksilver Pro Gold Coast,Quarterfinals,"['1.87', '0.63', '0.23', '5.17', '5.03', '4.47', '1.57', '1.77', '2.50', '0.40', '9.17']"
2017,K. Slater,Quiksilver Pro Gold Coast,Quarterfinals,"['1.33', '0.50', '0.37', '4.83', '6.33', '0.43', '3.00', '0.77', '4.90', '7.50', '\xa0']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Semifinals,"['3.17', '0.27', '7.83', '1.13', '5.50', '8.07']"
2017,J. Florence,Quiksilver Pro Gold Coast,Semifinals,"['2.00', '9.50', '4.83', '6.00', '1.50', '4.27']"
2017,O. Wright,Quiksilver Pro Gold Coast,Semifinals,"['0.23', '7.17', '5.67', '0.33', '8.57', '1.33']"
2017,G. Medina,Quiksilver Pro Gold Coast,Semifinals,"['6.17', '1.10', '4.27', '1.30', '2.43', '0.83']"
2017,O. Wright,Quiksilver Pro Gold Coast,Finals,"['2.83', '5.00', '5.43', '6.33', '0.50', '8.33', '1.60']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Finals,"['3.67', '0.50', '6.60', '5.30', '6.90', '2.53', '\xa0']"
2017,K. Slater,Drug Aware Margaret River Pro,Round 1,"['0.23', '4.17', '3.90', '0.17', '0.33']"
2017,M. Fanning,Drug Aware Margaret River Pro,Round 1,"['0.27', '3.17', '0.23', '3.50', '\xa0']"
2017,L. Fioravanti,Drug Aware Margaret River Pro,Round 1,"['1.00', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,K. Andino,Drug Aware Margaret River Pro,Round 1,"['7.00', '1.77', '\xa0']"
2017,E. Lau,Drug Aware Margaret River Pro,Round 1,"['4.17', '2.83', '\xa0']"
2017,S. Kennedy,Drug Aware Margaret River Pro,Round 1,"['0.50', '0.43', '0.70']"
2017,J. Freestone,Drug Aware Margaret River Pro,Round 1,"['3.00', '0.70', '1.23', '2.83', '0.23', '2.93', '3.77', '0.50']"
2017,M. Pupo,Drug Aware Margaret River Pro,Round 1,"['2.10', '1.07', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,M. Wilkinson,Drug Aware Margaret River Pro,Round 1,"['1.10', '2.00', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Smith,Drug Aware Margaret River Pro,Round 1,"['5.17', '5.77', '5.93', '0.57', '7.83']"
2017,N. Young,Drug Aware Margaret River Pro,Round 1,"['1.50', '5.33', '6.67', '0.50', '0.60']"
2017,K. Igarashi,Drug Aware Margaret River Pro,Round 1,"['0.50', '0.37', '0.50', '1.27', '\xa0']"
2017,J. Mendes,Drug Aware Margaret River Pro,Round 1,"['0.30', '3.67', '0.47', '0.13', '0.23', '2.87', '3.60', '7.40']"
